gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Slc7a10,0.09583074216905924,-0.6052937507483918,1,1,1
App,0.0961227581943746,-0.4053223504594836,1,1,1
Snap25,0.09645966504681108,-0.5090093628404881,1,1,1
Cd68,0.09654647996855302,0.22056431662478726,1,1,1
Ifitm2,0.09765155991837701,0.3630285612198112,1,1,1
Hsd11b1,0.09814378757337563,-0.647795268195639,1,1,1
Slc2a1,0.09829237090763891,0.2509923330449748,1,1,1
Acsl6,0.10131032917222911,-0.356072283975291,1,1,1
Abcg1,0.10467116048355125,0.05981998862576754,1,1,1
Mapkapk2,0.1052689603867236,0.22201628119126138,1,1,1
Wif1,0.10556462628685365,-0.014103475511029195,1,1,1
Ptgds,0.10575357061794587,0.3768880422781633,1,1,1
Ogdh,0.11027435770088938,-0.2765883431454972,1,1,1
Dgat2,0.11036123397560035,-0.39688631736738955,1,1,1
Cpt1b,0.11120128938360783,0.0021713151185241975,1,1,1
Pparg,0.11151572311560372,-0.4648494008882291,1,1,1
Otof,0.11182438626317313,-0.5449489684715976,1,1,1
Ndufv2,0.11186868761223318,-0.2221762077915761,1,1,1
Mgp,0.11230851088603129,0.47213859100334665,1,1,1
Lipa,0.11387796601779153,0.2506138534957678,1,1,1
Ltc4s,0.1138964781269807,-0.2927020314922144,1,1,1
Gclm,0.1140621915899992,-0.22306778393635263,1,1,1
Ophn1,0.11805893268235709,-0.2915491812608093,1,1,1
Rxra,0.1190739657660512,0.019988736839982923,1,1,1
Ldhb,0.1197659101671015,-0.3118147949607968,1,1,1
Gys2,0.1205594088896094,-0.1583806532980716,1,1,1
Stard8,0.1216263339085724,-0.35197352770044077,1,1,1
Cd36,0.1257565664699313,0.19944162961509432,1,1,1
Htr2c,0.12767255127461768,-0.6719247335000829,1,1,1
C1galt1c1,0.12964980813389218,0.04376772427078368,1,1,1
Klf6,0.12973871921340643,0.11306404244703305,1,1,1
Dpp4,0.1332375973297188,-0.15337870671856035,1,1,1
P4ha1,0.13330597313518916,0.13014380801687953,1,1,1
Gpx1,0.13604764408098063,0.04604230011167232,1,1,1
Vip,0.1361564446566228,-0.5111630121632793,1,1,1
Calb1,0.14121233064249555,-0.596527264007312,1,1,1
Tmsb4x,0.14388780490640374,0.05025259998010689,1,1,1
