gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Plpp3,0.3949594233674021,-0.19436745506963915,1,1,1
Mbp,0.39882239353604126,-0.3265390757251083,1,1,1
Impdh2,0.4048266581145301,0.20964331616157716,1,1,1
Mif,0.407344563295896,-0.3374629834723042,1,1,1
Pdha1,0.40826797257475034,-0.10238712224798574,1,1,1
Cldn5,0.4100619404179841,0.13854712709062617,1,1,1
Acadl,0.41303512200839554,-0.15541470574120053,1,1,1
Ext2,0.41416518292701204,-0.21669467900806083,1,1,1
Col1a2,0.41548791875908064,-0.3589654000220031,1,1,1
Mertk,0.41782467352873787,0.12371990684140499,1,1,1
Comt,0.41856532344701647,0.15522562224364833,1,1,1
Hspg2,0.41865210686815035,-0.25815686920387704,1,1,1
Numb,0.42015544962147583,0.15026829116262608,1,1,1
Ccl3,0.4218304065337815,-0.17222846389644175,1,1,1
Ndufs1,0.4233094333973302,-0.09477229417701016,1,1,1
Acaa1a,0.4314548487886082,0.26726098914768004,1,1,1
Elovl1,0.43171095812830623,0.11742681606226357,1,1,1
Cd63,0.4322075066609576,-0.09506040572600494,1,1,1
Fosb,0.43387400037413953,0.14230185687487107,1,1,1
Atp1b2,0.43587395064807927,-0.09404175035401963,1,1,1
Gusb,0.43617120236222756,-0.07749293181013339,1,1,1
Ndufv2,0.44321528679763417,0.0924670156605143,1,1,1
Pla2g7,0.44630739771784533,0.09354234340691736,1,1,1
Ppara,0.45172315489640125,-0.19667438524086814,1,1,1
Sorl1,0.4542923647322618,0.1265925076257055,1,1,1
Tnf,0.4601321795150231,-0.35706322805887536,1,1,1
Tph2,0.4621255804419538,-0.10399890409721868,1,1,1
Il1r2,0.4626403804418787,-0.3142062329735076,0.75,1,1
Cldn11,0.4640584553212404,-0.1797930713737328,1,1,1
Pfkp,0.46805416442053227,0.14026378067152123,1,1,1
Pthlh,0.47257935147671937,-0.41205201051242635,1,1,1
Klf4,0.47270203560336227,-0.3604059091907794,1,1,1
Bin1,0.47314770637022685,0.1003661882734157,1,1,1
Calb1,0.4744615363583894,0.22255307580730088,1,1,1
Gzmb,0.4756778818725026,-0.19035374037856045,0.75,1,1
Nts,0.4797553764033975,0.08697149103529773,1,1,1
Acer3,0.48117619116285526,0.07762006165257329,1,1,1
Dlat,0.4860471876911142,0.12465901006320435,1,1,1
Hk3,0.48791447799258586,0.15527157398336056,1,1,1
Mmp9,0.48811359442471886,-0.4651535945776073,1,1,1
Opcml,0.4914291550487978,-0.15856682459707772,1,1,1
Aldh9a1,0.4917058079553451,-0.1440320463951763,1,1,1
Phgdh,0.49388750778568247,0.1631894965138505,1,1,1
Adamts2,0.49440141112803165,-0.02826390634990883,1,1,1
Dlst,0.4944286297450259,-0.07111052711318333,1,1,1
Man2a2,0.49556494419051317,-0.062365931072623226,1,1,1
Ptgs1,0.497353232522386,0.13784879297621977,1,1,1
Srebf1,0.498515011547869,-0.11220522612934891,1,1,1
Sptlc2,0.5051169969491125,0.1416936071626207,1,1,1
Cox4i1,0.5059281457009428,0.08307159904510275,1,1,1
Acsl1,0.5064663761340642,-0.0965865789167546,1,1,1
Ldha,0.5066205546496432,0.13004708305604318,1,1,1
Elmo1,0.507052406683516,0.08709165899031346,1,1,1
Plac8,0.5081435727651216,0.010744535995566795,1,1,1
Naga,0.5120762186117016,-0.08085523670789252,1,1,1
Hmgcs1,0.5150841646755281,-0.10110964127581656,1,1,1
Pnpla2,0.5160438334385435,0.10655151605980895,1,1,1
Adh1,0.5171554500137447,-0.4776510435999002,0.75,1,1
Sdha,0.5176514991472867,0.071404199020626,1,1,1
Osr1,0.5209821224133522,-0.36007593335098087,1,1,1
Dad1,0.5213132513169099,-0.2935703014914137,1,1,1
Lyz2,0.5251117524941891,-0.09076863647688871,1,1,1
Gmps,0.5256413157837809,0.10399156156772182,1,1,1
B3gat3,0.5260995227302716,0.05181030809046083,1,1,1
H2az1,0.528443930045773,0.16929513635686325,1,1,1
Serpina3a,0.5334791247559905,-0.5098281289708493,0.75,1,1
Ptdss1,0.5356045505147993,-0.09161109637484488,1,1,1
Tox2,0.5360644095120914,-0.30740826010151,1,1,1
Ubc,0.5386928799649902,0.10276372124256028,1,1,1
Fut9,0.538702530597008,-0.08959009591624634,1,1,1
Ctsb,0.5416960281287369,-0.05811514412471652,1,1,1
Pou3f1,0.5425623198058686,0.10265280548267663,1,1,1
Arsb,0.5444558182313712,-0.06302611327594843,1,1,1
Pmm1,0.5447040015987363,0.10389348345228111,1,1,1
Gapdh,0.545028913942901,-0.065155024304695,1,1,1
Soat1,0.5457957393245676,0.07081800012762463,1,1,1
Ifitm1,0.5461852383278564,-0.33251893928722054,1,1,1
Got2,0.5491235998848523,0.11689482477509205,1,1,1
Acaca,0.5495148190520136,-0.1130183669306164,1,1,1
Arhgap5,0.5511984615595845,0.0956891740385819,1,1,1
Htr2c,0.5516971731495783,-0.13411155214593373,1,1,1
Gsr,0.5520908451538193,0.09345155750573331,1,1,1
H2-Ab1,0.552616422655579,0.03460728372266636,1,1,1
Cst3,0.5534963027081815,-0.02608465189210918,1,1,1
Gaa,0.5542403139190828,-0.05178295043759684,1,1,1
Csgalnact1,0.5550783518910238,-0.30166168995677034,0.75,0.667,1
Tkt,0.5571458568530518,-0.050855602557001056,1,1,1
Ccdc153,0.5572744298849264,-0.4859581999915338,0.75,1,1
Bhlhe41,0.557606450610453,-0.03639575501224268,1,1,1
Eci1,0.5576966461409772,-0.2589691218746145,1,1,1
Chsy1,0.558648701130128,-0.1278767158624694,1,1,1
Cbs,0.5610570350827302,-0.16472487197107738,1,1,1
Nlrp3,0.5724053626175203,0.20041930232267502,1,1,1
Macc1,0.5728528032648441,-0.44873716095560257,0.75,0.667,1
Ldhb,0.5733103860025988,-0.046932441048169515,1,1,1
Gpat4,0.5738678394730198,0.06943141755087145,1,1,1
Pparg,0.5752242277715907,-0.45281450624479447,1,1,1
Car12,0.5759746545409237,-0.198721955879739,1,1,1
Serpina3n,0.576732319163229,-0.340112173590549,1,1,1
Cd81,0.576954438338328,-0.04982121099110692,1,1,1
Gad1,0.5771667349570232,0.1601962835079651,1,1,1
Tnr,0.5796930963427339,-0.0809785401789469,1,1,1
St3gal2,0.5797035201489777,-0.09747146545261298,1,1,1
Crh,0.5830422062867148,0.055430982933432515,1,1,1
Fdft1,0.5866942565526254,0.11142665527953755,1,1,1
Rxra,0.5874009730360363,0.04478207898515896,1,1,1
Mt3,0.5887159502984813,-0.4291169481923447,1,1,1
Lgals1,0.5904180613624173,-0.2238879634833424,1,1,1
P2ry12,0.5912146770901985,0.09885837123870633,1,1,1
Acss2,0.5915780709255573,-0.09043699023396923,1,1,1
Lgals3,0.5918046566435282,-0.1657028511281805,1,1,1
Rxrb,0.5921705181876771,0.04951523101648725,1,1,1
Acta2,0.5969825664738824,0.12853331913358979,1,1,1
Plpp4,0.5979128502097435,-0.2850208050998251,0.75,1,1
Pcx,0.5983785189601352,-0.10871834092594668,1,1,1
Tecr,0.5988461303231116,0.10106222812171373,1,1,1
Fut8,0.59938707701785,0.07662890237146414,1,1,1
Cers2,0.6006849320198564,0.08385904832813162,1,1,1
Fas,0.60169779045945,-0.06388608945263968,1,1,1
Oprk1,0.6054423525290802,-0.04300498073674319,1,1,1
Camp,0.6083310562557867,-0.027783145952145597,1,1,1
Apoc4,0.6094120766294764,-0.33685671285083674,1,1,1
Taldo1,0.6128016688624844,0.09986514055010698,1,1,1
Ctps2,0.612996713150542,0.04353793734375477,1,1,1
Clec7a,0.6135708165244994,-0.06317668492096162,1,1,1
Glud1,0.6236104331350638,-0.01602182829872767,1,1,1
Ppt1,0.6236182494838347,0.09833800346052612,1,1,1
Mag,0.6239263056695445,-0.40119631628888885,0.75,1,1
Bpgm,0.6255169842015627,-0.08537946741430291,1,1,1
Jun,0.6268461332599571,-0.08738508099362652,1,1,1
Pla2g12a,0.6311805471080603,-0.126048745993532,1,1,1
Extl3,0.6342295363450741,0.07278184960034917,1,1,1
Tgfbr1,0.6362435218267737,-0.058245094298662536,1,1,1
Ppat,0.6363633979286123,-0.23294796811648022,1,1,1
Snap25,0.6364867940795459,0.10103399669108981,1,1,1
Hilpda,0.6372941885546686,0.1374216380071004,1,1,1
Gclc,0.6375374784581657,-0.09282046006538369,1,1,1
Echs1,0.6383239434888394,-0.041018881888831515,1,1,1
Mki67,0.6385012755844008,-0.28629647351023985,1,1,1
Abhd17a,0.6390858205920803,-0.05705955537221152,1,1,1
Pank3,0.6400655829957878,-0.03658344649368095,1,1,1
Ckb,0.6401493070857962,-0.034372206749774925,1,1,1
Chka,0.6432380075006415,-0.06278008353893538,1,1,1
Fxyd5,0.6443165154456163,-0.09941516433184061,1,1,1
Vim,0.6468778056148032,-0.2430389197709677,1,1,1
Ctsd,0.64700935378799,-0.032434590017707876,1,1,1
Tagln,0.6478739249154073,-0.3220795121715746,1,1,1
Aldh3b1,0.64929028415243,-0.14667828731265842,1,1,1
Polr1a,0.6502549067783825,0.01986592881411109,1,1,1
Pgm2,0.6567071123336965,-0.1521359222302885,1,1,1
Pllp,0.6594046597792472,-0.021313703687053653,1,1,1
Sdhc,0.6611906362874109,-0.05020189478128412,1,1,1
Hsd11b1,0.6633493500546503,-0.31019794439907084,1,1,1
Pla2g4a,0.6657224114711917,0.043951373068529254,1,1,1
Spp1,0.6664576454044115,0.23278084628598306,1,1,1
Alg5,0.6670463347801777,0.03847856941007888,1,1,1
Pfkl,0.6682035851877415,0.06724944053296467,1,1,1
Prodh,0.6688949250154805,-0.10997793293123648,1,1,1
Slc7a10,0.6718155858464316,0.12690433442898763,1,1,1
Asah1,0.6719456322260754,0.04848015067533051,1,1,1
Maf,0.6722665406635682,0.07453249047766342,1,1,1
Serping1,0.6743197305459221,0.03278764584574946,1,1,1
Tmem212,0.678351914232355,-0.05566766817461233,1,1,1
Lrg1,0.679382539048655,-0.4566598151667156,0.75,1,1
Mt1,0.6824291559286537,-0.30582889123850254,1,1,1
Cd36,0.6839056130289363,-0.0397747524970502,1,1,1
Ly6g,0.6841845827977159,-0.27451842647095637,1,1,1
Rpn1,0.6851719627973578,0.08906103463527781,1,1,1
Cd68,0.6866276171697696,-0.0702963252999318,1,1,1
Psap,0.6871168122080822,0.06027012990911906,1,1,1
Hexb,0.6886447964388851,-0.07178625596799382,1,1,1
Apoe,0.6915441874548764,-0.014321685578578713,1,0.667,1
Lta4h,0.6927044403044018,0.05574452591824075,1,1,1
Bace1,0.6929890280689317,-0.08224194698206588,1,1,1
Shmt2,0.6996829700028172,0.12410799815017248,1,1,1
Myo1e,0.7012617831734516,-0.06394971070502731,1,1,1
Trem2,0.7022453874038186,-0.0321279457652599,1,1,1
Ndnf,0.7030473355454124,-0.3104876416151664,1,1,1
Ocln,0.704614245166328,-0.034984098132426644,1,1,1
Idh2,0.7057192369306315,0.08758306346289757,1,1,1
Pgam1,0.7060361236655217,0.07137424116703794,1,1,1
Cd209a,0.7061503138545158,-0.1254498529394492,1,0.667,1
Mgl2,0.7064416382470029,-0.08509698829069934,1,1,1
Lpl,0.7069055755238411,-0.03237809245950185,1,1,1
Acod1,0.708082115948104,-0.2978483745920776,0.75,1,1
Ddost,0.7081181221543469,0.07400309143753869,1,1,1
Gstm1,0.7084629095142443,-0.043990241961774146,1,1,1
Vcam1,0.7089087971562745,0.040599227346301614,1,1,1
Dpm1,0.7092252405187389,0.06185538657882805,1,1,1
Coasy,0.7095988239777755,0.09077470317888858,1,1,1
Ptgds,0.7097031934099818,-0.12770418241839465,1,1,1
rs429358-ALT-228:C,0.7129010418252698,-0.39976478548006056,1,1,1
Cerk,0.7147577789518986,-0.01306653840557992,1,1,1
Adss,0.7163028829403257,-0.084898535583108,1,1,1
Kcnj8,0.7185209462959236,-0.008235769578258223,1,1,1
C1qb,0.7228781751134263,0.0705488742811502,1,1,1
Ebp,0.7229726735498214,-0.1574561921301174,1,1,1
Nfkbia,0.7293445865892689,-0.07656787139683363,1,1,1
Itgax,0.7304467436874975,-0.05297362222409596,1,1,1
Prps2,0.7357296107542104,-0.08226903010672304,1,1,1
Atf3,0.7399946369641959,-0.40766807914535375,0.75,0.667,1
Mog,0.7412803381922429,-0.16557374719781753,1,1,1
Ptges3,0.7413901642083347,0.05212635803305199,1,1,1
Akt1,0.7420086369447545,-0.029809085640226662,1,1,1
Emcn,0.742607664957135,-0.3086249022979548,1,1,1
App,0.7434056670033506,0.05345940652796877,1,1,1
Acly,0.7437536309414199,-0.03335299114372603,1,1,1
Mt2,0.7457541325418349,0.12124369124054635,1,1,1
Tmsb4x,0.7460714683095286,-0.0055647268763010516,1,1,1
Slc32a1,0.748133096431574,-0.13612597599880694,1,1,1
Vip,0.7484895964909644,-0.12733300181284318,1,1,1
Tpsb2,0.748805564616388,-0.4105677659333302,0.75,0.667,1
Ppard,0.7509008534148183,0.026447443459346243,1,1,1
Cd247,0.751722219846021,-0.19779397120685693,1,1,1
Plin2,0.7521643537212677,0.018887685735357707,1,1,1
Neu1,0.7534174419400429,0.021298429539023278,1,1,1
Dgkd,0.7541696326381605,-0.03477181383158001,1,1,1
Cbr1,0.7585033096884972,-0.013905821435264754,1,1,1
Fcer1a,0.759373616271794,-0.48035391168896013,0.75,1,1
Fos,0.760927022427385,0.06814758216482797,1,1,1
Lpin1,0.7636102422192802,-0.08234759711128081,1,1,1
Ido1,0.7653200464118424,-0.32892756244452337,0.75,1,1
Tac1,0.7656329905397694,-0.006455809978422766,1,1,1
Odc1,0.7659283908509571,-0.1073364854996095,1,1,1
