#Selection names: 4s2_F1, 4s2M_F2, 4s2M_F1
#Areas (µm^2): 27180097.8, 14559513.7, 26957824.5
Selection,X,Y,Class,Color
4s2M_F2,8898.311512529244,7787.98485743343,samples,#c2c2c2
4s2M_F2,8978.751814698398,7804.053712064911,samples,#c2c2c2
4s2M_F2,9142.193192683155,7806.422427687879,samples,#c2c2c2
4s2M_F2,9288.381358224946,7818.810170202587,samples,#c2c2c2
4s2M_F2,9562.76825444221,7824.539901236522,samples,#c2c2c2
4s2M_F2,9695.704416363616,7844.097809961294,samples,#c2c2c2
4s2M_F2,9854.856498490568,7862.567389886324,samples,#c2c2c2
4s2M_F2,9984.015519283457,7880.108689364516,samples,#c2c2c2
4s2M_F2,10075.91528352048,7898.034104889677,samples,#c2c2c2
4s2M_F2,10147.776993974021,7915.991530085416,samples,#c2c2c2
4s2M_F2,10274.151173426395,7937.726096409673,samples,#c2c2c2
4s2M_F2,10304.944476524974,7958.884488663477,samples,#c2c2c2
4s2M_F2,10353.407117784065,7983.820022045796,samples,#c2c2c2
4s2M_F2,10435.255845458769,8002.865776041279,samples,#c2c2c2
4s2M_F2,10617.614938756684,7990.958178585281,samples,#c2c2c2
4s2M_F2,10607.787969888428,7965.286422779605,samples,#c2c2c2
4s2M_F2,10594.792043632688,7926.394673024125,samples,#c2c2c2
4s2M_F2,10600.45775532546,7907.5089673815455,samples,#c2c2c2
4s2M_F2,10678.497332201065,7871.3700492960015,samples,#c2c2c2
4s2M_F2,10700.391946878224,7873.738764918969,samples,#c2c2c2
4s2M_F2,10747.382143290606,7940.799024785414,samples,#c2c2c2
4s2M_F2,10821.036395296664,8037.692297633018,samples,#c2c2c2
4s2M_F2,10936.943412469169,8146.5251776072,samples,#c2c2c2
4s2M_F2,11061.108924651478,8220.307468295578,samples,#c2c2c2
4s2M_F2,11103.745805864894,8281.958093833895,samples,#c2c2c2
4s2M_F2,11152.46452448863,8379.107444046143,samples,#c2c2c2
4s2M_F2,11241.771505408622,8559.193850732836,samples,#c2c2c2
4s2M_F2,11277.590326788359,8674.332635811405,samples,#c2c2c2
4s2M_F2,11281.367467916876,8700.420517334627,samples,#c2c2c2
4s2M_F2,11310.304210121776,8847.344905299775,samples,#c2c2c2
4s2M_F2,11343.434219172741,9008.833693379112,samples,#c2c2c2
4s2M_F2,11347.243369971837,9051.438564921948,samples,#c2c2c2
4s2M_F2,11341.673687290806,9100.86149629846,samples,#c2c2c2
4s2M_F2,11326.597132447323,9197.050556393287,samples,#c2c2c2
