#Selection name: 4s2_F2
#Area (µm^2): 31293112.30
Cell ID,Cluster,Transcripts,Area (µm^2)
leobhjfp-1,Cluster 8,0,128.02
leobdllo-1,Cluster 8,0,166.31
leoaicnn-1,Cluster 8,0,43.35
leobbfmd-1,Cluster 8,0,52.92
leodjehc-1,Cluster 8,0,178.41
leoakjao-1,Cluster 8,0,167.44
leodeglo-1,Cluster 8,0,47.91
lhcfdjdn-1,Cluster 8,0,173.26
lenggheg-1,Cluster 8,0,129.10
leodeoeb-1,Cluster 8,0,305.71
leoanklp-1,Cluster 8,0,86.11
lhbknjie-1,Cluster 8,0,104.67
lhbjpiem-1,Cluster 8,0,102.69
lhbjilcj-1,Cluster 8,0,90.58
lhbjogck-1,Cluster 8,0,105.62
lhbklcpm-1,Cluster 8,0,77.58
lhbkbhcf-1,Cluster 8,0,114.74
lhbkhcki-1,Cluster 8,0,119.12
lhbjkmfh-1,Cluster 8,0,50.03
lhbikkje-1,Cluster 8,0,78.62
lhbjgbmf-1,Cluster 8,0,122.92
lhbinlkn-1,Cluster 8,0,177.78
lhbpbklj-1,Cluster 8,0,121.70
lhcbamif-1,Cluster 8,0,196.88
lhbpdnhd-1,Cluster 10,0,126.66
lhbioipp-1,Cluster 8,0,138.27
lhbpcjcc-1,Cluster 8,0,103.41
lhbpofbl-1,Cluster 8,0,104.09
lhcfbfkg-1,Cluster 8,0,187.71
lhcaamgj-1,Cluster 8,0,278.89
lhcfbigi-1,Cluster 8,0,68.37
lhbpjppn-1,Cluster 8,0,125.81
leobahml-1,Cluster 25,0,129.73
lhcaalpb-1,Cluster 8,0,186.90
lhbhjijn-1,Cluster 10,0,254.73
lhbhpphp-1,Cluster 7,0,116.55
lhbiaccd-1,Cluster 10,0,127.66
lhbiffde-1,Cluster 18,0,130.91
lenjcfed-1,Cluster 8,0,148.11
lenlhfcf-1,Cluster 18,0,202.25
lenpeaaj-1,Cluster 5,0,231.52
lenpnjmi-1,Cluster 4,0,128.20
leoaannl-1,Cluster 18,0,162.43
leoaapgf-1,Cluster 8,0,99.61
leoidkjo-1,Cluster 10,0,215.17
leojkcol-1,Cluster 5,0,247.46
lhcflnkl-1,Cluster 11,0,229.57
leoigbll-1,Cluster 11,0,312.89
leofnakd-1,Cluster 11,0,311.85
lhcfmdfh-1,Cluster 11,0,149.92
lhcfhjko-1,Cluster 5,0,126.35
lhcfilea-1,Cluster 5,0,67.55
leojfmgi-1,Cluster 11,0,293.97
lenokgel-1,Cluster 4,0,199.41
lenokddm-1,Cluster 5,0,274.05
lenofhjb-1,Cluster 16,0,210.70
lenomcgj-1,Cluster 4,0,196.07
lhbljljm-1,Cluster 10,0,221.67
lenfnheh-1,Cluster 24,0,190.47
leoagpjl-1,Cluster 8,0,120.57
lenifjel-1,Cluster 8,0,49.90
lenpljnd-1,Cluster 4,0,106.25
lenpgdmf-1,Cluster 8,0,114.65
lenpfaje-1,Cluster 4,0,117.50
lenpfaai-1,Cluster 18,0,180.76
lenpeemg-1,Cluster 4,0,161.34
lenicfkb-1,Cluster 8,0,116.91
lenibebb-1,Cluster 8,0,127.88
lenhogef-1,Cluster 8,0,225.92
lhblcdod-1,Cluster 4,0,207.18
lenhoalo-1,Cluster 8,0,176.52
lenhnefn-1,Cluster 8,0,81.78
lhblchgn-1,Cluster 4,0,205.14
lhbkpgom-1,Cluster 5,0,270.62
lenhcnhf-1,Cluster 8,0,78.08
lenhcepf-1,Cluster 4,0,162.02
