#Selection name: 4s2M_F3
#Area (µm^2): 34210131.15
Cell ID,Cluster,Transcripts,Area (µm^2)
nemlfkpm-1,Cluster 4,0,252.33
nemkbnhc-1,Cluster 9,0,73.47
nemkelmn-1,Cluster 8,0,31.74
hniapikb-1,Cluster 4,0,180.63
nemjpdaf-1,Cluster 8,0,40.46
nemlgbbd-1,Cluster 5,0,156.87
hnhmicoo-1,Cluster 4,0,270.08
hnibhohn-1,Cluster 4,0,177.92
nenbhggo-1,Cluster 5,0,348.11
nemjonmk-1,Cluster 8,0,129.55
nendepce-1,Cluster 5,0,254.50
nendbain-1,Cluster 5,0,70.94
hnibggpl-1,Cluster 16,0,256.71
nemkhkeb-1,Cluster 8,0,147.80
hnnnlabd-1,Cluster 11,0,260.28
hnmiihne-1,Cluster 2,0,277.85
hnmhnonb-1,Cluster 2,0,255.27
hnnbmpjf-1,Cluster 11,0,162.38
hnnbmkjj-1,Cluster 9,0,257.48
hnmgidjk-1,Cluster 7,0,131.59
hnncmjkn-1,Cluster 13,0,197.65
hnmfpafl-1,Cluster 11,0,124.59
hnmgboio-1,Cluster 7,0,135.02
hnmibnpg-1,Cluster 4,0,103.05
hnncmdam-1,Cluster 11,0,163.38
hnmgadcj-1,Cluster 10,0,173.94
hnnbmdbp-1,Cluster 2,0,296.77
hnmfphnp-1,Cluster 13,0,59.52
hnmffhhp-1,Cluster 11,0,221.63
hnncajbd-1,Cluster 11,0,119.26
hnnccpkf-1,Cluster 13,0,97.18
hnncdooi-1,Cluster 2,0,164.28
hnnchaad-1,Cluster 11,0,228.40
hnnbaenk-1,Cluster 11,0,202.66
hnnnklgb-1,Cluster 11,0,247.91
hnnndico-1,Cluster 11,0,104.49
hnncfpbd-1,Cluster 2,0,136.37
hnnchihg-1,Cluster 7,0,61.01
hnndgall-1,Cluster 11,0,173.49
hnnomnoe-1,Cluster 9,0,179.27
hnnogchk-1,Cluster 11,0,211.78
hnnogbmd-1,Cluster 11,0,187.80
hnncecbi-1,Cluster 4,0,157.05
hnnnilbc-1,Cluster 11,0,233.41
hnibplkk-1,Cluster 9,0,29.22
hnnnlgge-1,Cluster 11,0,163.92
hnibinna-1,Cluster 11,0,269.81
hnnndegc-1,Cluster 11,0,202.71
hnnbffin-1,Cluster 10,0,248.59
hnichcph-1,Cluster 16,0,68.10
hnicfgff-1,Cluster 16,0,138.58
hnicdheg-1,Cluster 11,0,207.40
hniccljm-1,Cluster 11,0,148.25
hnhnfgdb-1,Cluster 7,0,79.66
hnmhebke-1,Cluster 17,0,154.93
hnmhlpok-1,Cluster 5,0,81.69
hnncaaca-1,Cluster 4,0,257.21
hnnbngen-1,Cluster 16,0,116.01
hnibkpnc-1,Cluster 10,0,200.45
hnhmkdie-1,Cluster 11,0,84.67
hnibkbln-1,Cluster 11,0,198.42
hnibkbcm-1,Cluster 11,0,190.51
hnnmjhih-1,Cluster 10,0,101.65
njochbpo-1,Cluster 9,0,189.34
njnfkhhe-1,Cluster 5,0,295.55
njnhphmj-1,Cluster 5,0,251.43
njnhfcjj-1,Cluster 8,0,231.65
nekgjpjl-1,Cluster 8,0,63.31
nekiemhl-1,Cluster 17,0,33.19
njnhmnkd-1,Cluster 16,0,173.04
nekgjlap-1,Cluster 8,0,203.88
nekhnomj-1,Cluster 8,0,76.81
nekialad-1,Cluster 8,0,85.35
njniedeo-1,Cluster 16,0,146.94
njngplja-1,Cluster 8,0,181.84
njniilco-1,Cluster 4,0,218.24
njmiiabj-1,Cluster 24,0,243.39
njmimbfb-1,Cluster 8,0,225.74
njmjfdgn-1,Cluster 4,0,183.65
njmlhfji-1,Cluster 8,0,181.30
nekhndpe-1,Cluster 8,0,340.12
njnhdkdj-1,Cluster 18,0,122.73
njnhglea-1,Cluster 8,0,134.79
njnhnjii-1,Cluster 5,0,118.22
njmihikg-1,Cluster 8,0,141.29
njnikdkg-1,Cluster 4,0,104.76
njnigppf-1,Cluster 4,0,175.75
njmlhbfh-1,Cluster 8,0,119.89
njmlhlpc-1,Cluster 8,0,199.09
njnifejm-1,Cluster 4,0,130.41
njmihdde-1,Cluster 5,0,196.43
njmknlcg-1,Cluster 5,0,157.46
njmijgnk-1,Cluster 4,0,220.90
njmipkhd-1,Cluster 16,0,214.13
njmliddc-1,Cluster 17,0,96.72
njmlfjcm-1,Cluster 5,0,221.18
njmipoam-1,Cluster 10,0,142.20
njmlkncj-1,Cluster 17,0,27.09
njmlgldp-1,Cluster 5,0,115.19
njmmfbll-1,Cluster 9,0,156.47
njmlpdkd-1,Cluster 8,0,244.70
njmkdbpe-1,Cluster 4,0,211.60
njngopkl-1,Cluster 1,0,139.71
njmmiape-1,Cluster 24,0,370.37
njmjkijd-1,Cluster 4,0,221.58
njmmfjcf-1,Cluster 8,0,185.41
njmlfpbk-1,Cluster 4,0,181.17
njngnaho-1,Cluster 16,0,196.57
njmjkdhl-1,Cluster 5,0,105.85
njmjimki-1,Cluster 4,0,210.52
njmmaadn-1,Cluster 17,0,85.44
njmjgnnc-1,Cluster 18,0,76.40
njmmdifl-1,Cluster 4,0,217.20
njmmilmk-1,Cluster 9,0,158.86
njmmjkod-1,Cluster 9,0,49.31
njmmnbhf-1,Cluster 8,0,119.57
njobeoei-1,Cluster 2,0,243.26
njnolhdj-1,Cluster 18,0,284.26
njoablpn-1,Cluster 5,0,153.40
njobjbic-1,Cluster 7,0,158.23
njnpjalj-1,Cluster 25,0,76.90
njnpldhn-1,Cluster 9,0,191.87
njobfhbj-1,Cluster 2,0,301.87
njnnmjpk-1,Cluster 6,0,115.33
njohjekd-1,Cluster 4,0,143.15
njoacopl-1,Cluster 11,0,220.00
njnmlgia-1,Cluster 8,0,209.30
njnnkgna-1,Cluster 9,0,129.55
njobbeah-1,Cluster 4,0,152.85
njoabega-1,Cluster 2,0,303.90
njobmkgn-1,Cluster 9,0,129.19
njoailpc-1,Cluster 9,0,192.00
njobnfib-1,Cluster 4,0,209.07
njoabaee-1,Cluster 4,0,231.34
njnnioja-1,Cluster 5,0,146.26
njnkodfl-1,Cluster 4,0,149.56
njnlbedl-1,Cluster 8,0,106.39
njnlcfak-1,Cluster 17,0,111.76
njnlepgc-1,Cluster 9,0,289.86
njnnehnf-1,Cluster 5,0,65.16
nenbeacn-1,Cluster 4,0,213.32
nenabaip-1,Cluster 4,0,179.04
njnkjflo-1,Cluster 9,0,244.75
njnkdoma-1,Cluster 17,0,208.26
nempndlh-1,Cluster 4,0,110.00
nenbabcd-1,Cluster 5,0,235.99
njnmjppk-1,Cluster 7,0,137.77
njnlfhfl-1,Cluster 4,0,209.07
njnmjoea-1,Cluster 7,0,89.54
nenangbk-1,Cluster 16,0,201.35
njohlpje-1,Cluster 2,0,396.29
njohmoji-1,Cluster 9,0,395.98
njnnakio-1,Cluster 5,0,72.34
njnlnhkp-1,Cluster 2,0,269.54
njnlghdf-1,Cluster 5,0,119.44
nenaamgo-1,Cluster 4,0,94.20
njnnckia-1,Cluster 5,0,199.05
njnmfnfd-1,Cluster 9,0,239.87
nenakaob-1,Cluster 5,0,274.41
njnkojel-1,Cluster 10,0,219.64
njnkpjka-1,Cluster 4,0,128.56
njnkmdoc-1,Cluster 9,0,261.09
njnlceab-1,Cluster 7,0,98.26
nenammcp-1,Cluster 12,0,323.91
nekhklcp-1,Cluster 5,0,252.24
nekgkefj-1,Cluster 8,0,139.89
njnfdhmf-1,Cluster 2,0,173.45
njneoidk-1,Cluster 7,0,44.57
njmkhhia-1,Cluster 7,0,83.49
njnfjakj-1,Cluster 4,0,232.74
njnfiain-1,Cluster 3,0,219.01
njmkmkog-1,Cluster 7,0,180.72
njojodjc-1,Cluster 9,0,120.88
njnekmca-1,Cluster 5,0,214.09
njnelnje-1,Cluster 5,0,144.18
njndkikl-1,Cluster 4,0,153.98
njndabpc-1,Cluster 18,0,210.02
njncdjjm-1,Cluster 5,0,227.18
njnbfpgl-1,Cluster 8,0,133.53
njnbflhe-1,Cluster 8,0,153.44
njnbagpg-1,Cluster 8,0,156.38
njmoadej-1,Cluster 5,0,184.01
njmmoaif-1,Cluster 5,0,174.62
njnajaog-1,Cluster 4,0,178.59
njojnone-1,Cluster 2,0,277.98
njmjlmpd-1,Cluster 8,0,154.03
njmnbgni-1,Cluster 10,0,105.62
njmnagfj-1,Cluster 8,0,149.83
njmpodhe-1,Cluster 16,0,188.03
njmkfhhh-1,Cluster 9,0,204.56
njnbgihc-1,Cluster 8,0,261.18
njnbohfp-1,Cluster 8,0,219.82
njmnnhha-1,Cluster 8,0,143.15
njnglnho-1,Cluster 5,0,81.01
njmnjckd-1,Cluster 4,0,170.74
njncccfo-1,Cluster 8,0,107.43
njmohoim-1,Cluster 4,0,251.66
njmphnke-1,Cluster 4,0,232.96
njmpmeij-1,Cluster 8,0,161.12
njncejop-1,Cluster 4,0,122.92
njmplhid-1,Cluster 4,0,108.15
njnglidm-1,Cluster 5,0,91.58
njnceibk-1,Cluster 5,0,190.20
njnccnhm-1,Cluster 5,0,215.85
njojiool-1,Cluster 7,0,209.25
njnbdena-1,Cluster 8,0,172.27
njmifkap-1,Cluster 5,0,84.08
njmihcof-1,Cluster 5,0,192.32
njmogohk-1,Cluster 4,0,98.35
njmkfelb-1,Cluster 4,0,217.74
njmofafl-1,Cluster 16,0,217.07
njmodphc-1,Cluster 8,0,251.61
njmoaehg-1,Cluster 24,0,392.36
njmibdom-1,Cluster 16,0,185.59
njnccmim-1,Cluster 4,0,212.14
njmibdma-1,Cluster 4,0,99.30
njmoiedp-1,Cluster 18,0,214.45
njodjhmd-1,Cluster 7,0,31.34
njofgkda-1,Cluster 11,0,162.16
njoicneh-1,Cluster 2,0,236.53
njoijmce-1,Cluster 2,0,223.16
njofkgao-1,Cluster 4,0,121.52
njoceoof-1,Cluster 11,0,127.21
njoibhch-1,Cluster 7,0,139.13
njoeolha-1,Cluster 5,0,141.75
njobakak-1,Cluster 2,0,272.47
njoiehab-1,Cluster 2,0,140.71
njocbhjc-1,Cluster 8,0,142.69
njoimnee-1,Cluster 2,0,324.76
njoblckp-1,Cluster 5,0,280.60
njoimkfc-1,Cluster 7,0,65.43
njoimkag-1,Cluster 2,0,229.98
njodanic-1,Cluster 11,0,304.22
njohphbd-1,Cluster 10,0,93.20
njoinadf-1,Cluster 2,0,293.70
njofabna-1,Cluster 16,0,204.20
njoioibf-1,Cluster 7,0,62.72
njohfjii-1,Cluster 3,0,308.06
njokigdj-1,Cluster 7,0,145.04
njokeckl-1,Cluster 11,0,258.84
njokkgfc-1,Cluster 11,0,107.38
njogplbk-1,Cluster 7,0,117.72
njocnjib-1,Cluster 11,0,330.36
njodieia-1,Cluster 2,0,107.92
njocilbn-1,Cluster 11,0,224.52
njokebpb-1,Cluster 7,0,140.53
njoglpjo-1,Cluster 11,0,213.63
njoiopik-1,Cluster 11,0,238.61
njochehb-1,Cluster 4,0,200.54
njolaclk-1,Cluster 4,0,75.14
njoghodl-1,Cluster 7,0,74.19
njolajem-1,Cluster 4,0,142.38
njoggiob-1,Cluster 11,0,309.64
njogmgai-1,Cluster 11,0,247.00
njoclkii-1,Cluster 11,0,245.20
njoldojc-1,Cluster 11,0,185.77
njohhkpg-1,Cluster 9,0,171.19
njodgejc-1,Cluster 11,0,266.20
njojefbj-1,Cluster 2,0,327.43
njojmnjo-1,Cluster 4,0,250.30
njnfobeg-1,Cluster 4,0,191.91
njngagcf-1,Cluster 16,0,183.61
njnffmfa-1,Cluster 2,0,287.33
njmkljbp-1,Cluster 7,0,162.92
njnfgphl-1,Cluster 16,0,199.00
njmkglld-1,Cluster 7,0,71.12
hnhlechb-1,Cluster 10,0,152.45
hnkolmph-1,Cluster 11,0,115.69
hnhlfofo-1,Cluster 16,0,215.53
hnhfknca-1,Cluster 4,0,161.79
hnkjiedc-1,Cluster 2,0,146.08
hnhfklmc-1,Cluster 3,0,240.41
hnkjccbh-1,Cluster 5,0,301.01
hnhfcodi-1,Cluster 2,0,186.45
hnhfieok-1,Cluster 11,0,203.75
hnkjabkj-1,Cluster 11,0,190.92
