#Selection names: 4s2_F2, 4s2_F3, 4s2M_F3, 4s2M_F4
#Areas (µm^2): 31293112.3, 33774633.9, 34210131.1, 30623218.5
Selection,X,Y,Class,Color
4s2_F2,2787.0428558624653,15474.036995905983,samples,#c2c2c2
4s2_F2,2750.8724923815716,15452.425116861685,samples,#c2c2c2
4s2_F2,2790.002339451023,15399.583024583924,samples,#c2c2c2
4s2_F2,2703.4367482687485,15390.34961328757,samples,#c2c2c2
4s2_F2,2620.1935903146746,15390.751346277071,samples,#c2c2c2
4s2_F2,2699.915212058586,15357.135767745067,samples,#c2c2c2
4s2_F2,2628.058879362732,15340.963136302677,samples,#c2c2c2
4s2_F2,2588.802719679463,15307.97587754045,samples,#c2c2c2
4s2_F2,2568.2116460216444,15283.070213941492,samples,#c2c2c2
4s2_F2,2541.8048450033425,15286.053606548494,samples,#c2c2c2
4s2_F2,2481.81599492458,15232.796272067177,samples,#c2c2c2
4s2_F2,2392.805154738467,15248.874492351113,samples,#c2c2c2
4s2_F2,2495.074014046955,15361.252173755187,samples,#c2c2c2
4s2_F2,2509.979956345997,15389.257277468538,samples,#c2c2c2
4s2_F2,2540.3130277377563,15405.97000065231,samples,#c2c2c2
4s2_F2,2558.3460907988338,15412.571700038834,samples,#c2c2c2
4s2_F2,2595.246115790869,15447.039519993734,samples,#c2c2c2
4s2_F2,2616.3020622552513,15475.00987792084,samples,#c2c2c2
4s2_F2,2651.7775100112467,15510.137867814386,samples,#c2c2c2
4s2_F2,2659.9775155650327,15526.32940420449,samples,#c2c2c2
4s2_F2,2662.0275169534793,15556.697221382492,samples,#c2c2c2
4s2_F2,2664.077518341926,15568.823500781946,samples,#c2c2c2
4s2_F2,2666.1275197303717,15570.83875638415,samples,#c2c2c2
4s2_F2,2676.968205038767,15646.723553542908,samples,#c2c2c2
4s2_F2,2674.9529494365647,15675.354081408665,samples,#c2c2c2
4s2_F2,2650.6656448514113,15697.626130391618,samples,#c2c2c2
4s2_F2,2574.8850850513845,15728.237168073332,samples,#c2c2c2
4s2_F2,2547.2274392004806,15732.823611857657,samples,#c2c2c2
4s2_F2,2505.7409704241254,15732.823611857657,samples,#c2c2c2
4s2_F2,2465.5748415250737,15738.904124450508,samples,#c2c2c2
4s2_F2,2410.1205666782867,15847.901655900616,samples,#c2c2c2
4s2_F2,2365.367993994914,15728.098184928358,samples,#c2c2c2
4s2_F2,2312.5891446889796,15749.432097682698,samples,#c2c2c2
4s2_F2,2219.3314544077925,15717.91766955861,samples,#c2c2c2
4s2_F2,2168.637352276549,15684.63120633604,samples,#c2c2c2
4s2_F2,2143.0991993865823,15697.660876177866,samples,#c2c2c2
4s2_F2,2051.4398152726567,15659.266782377303,samples,#c2c2c2
4s2_F2,2002.4135108811674,15609.615053833406,samples,#c2c2c2
4s2_F2,1965.6177232478674,15609.719291192137,samples,#c2c2c2
4s2_F2,1957.5567008390606,15555.133661001471,samples,#c2c2c2
4s2_F2,1921.2820999994333,15509.825155738185,samples,#c2c2c2
4s2_F2,1885.7371606709469,15464.586142047383,samples,#c2c2c2
4s2_F2,1859.5040920560828,15433.836121220686,samples,#c2c2c2
4s2_F2,1847.3778126566285,15413.33610733622,samples,#c2c2c2
4s2_F2,1841.3320458500239,15398.986097617093,samples,#c2c2c2
4s2_F2,1825.1752552461664,15368.653026225338,samples,#c2c2c2
4s2_F2,1813.9523662890788,15346.51996038737,samples,#c2c2c2
4s2_F2,1795.7803200830201,15321.91994372601,samples,#c2c2c2
4s2_F2,1785.6692962857676,15309.619935395333,samples,#c2c2c2
4s2_F2,1795.050346131809,15183.796880831924,samples,#c2c2c2
4s2_F2,1686.959010823068,15215.519030070938,samples,#c2c2c2
4s2_F2,1588.452213559975,15296.242807691062,samples,#c2c2c2
4s2_F2,1473.6521358069765,15292.594500135356,samples,#c2c2c2
4s2_F2,1399.8520858229067,15295.165688317473,samples,#c2c2c2
4s2_F2,1306.8376160454322,15307.430950861906,samples,#c2c2c2
4s2_F2,1213.3714510467744,15303.782643306193,samples,#c2c2c2
4s2_F2,1108.578159732294,15301.732641917748,samples,#c2c2c2
4s2_F2,1033.7190024785523,15355.223443634282,samples,#c2c2c2
4s2_F2,882.0703792020896,15273.970758708114,samples,#c2c2c2
4s2_F2,871.9593554048366,15265.770753154324,samples,#c2c2c2
4s2_F2,869.9440998026357,15230.920729550739,samples,#c2c2c2
4s2_F2,869.9440998026357,15198.537656770537,samples,#c2c2c2
4s2_F2,871.994101191082,15127.899473334746,samples,#c2c2c2
4s2_F2,881.3059719047034,15062.334174690704,samples,#c2c2c2
4s2_F2,883.911905873067,14983.912935136073,samples,#c2c2c2
4s2_F2,881.3407176909473,14915.880685668648,samples,#c2c2c2
4s2_F2,870.708507100022,14848.92555557481,samples,#c2c2c2
4s2_F2,859.4856181429344,14790.309414179741,samples,#c2c2c2
4s2_F2,854.8991743586137,14699.344945790712,samples,#c2c2c2
4s2_F2,854.8991743586137,14637.879649923565,samples,#c2c2c2
4s2_F2,852.8839187564124,14587.880463517222,samples,#c2c2c2
4s2_F2,852.8839187564124,14529.26432212215,samples,#c2c2c2
4s2_F2,852.8839187564124,14494.831247953502,samples,#c2c2c2
4s2_F2,852.8839187564124,14441.948161288832,samples,#c2c2c2
4s2_F2,860.6322290890148,14358.870986377386,samples,#c2c2c2
4s2_F2,864.7322318659074,14308.454850536104,samples,#c2c2c2
4s2_F2,866.7822332543548,14287.95483665164,samples,#c2c2c2
4s2_F2,870.8822360312473,14255.154814436495,samples,#c2c2c2
4s2_F2,870.8822360312473,14242.854806105819,samples,#c2c2c2
4s2_F2,866.8517248268437,14129.062356153923,samples,#c2c2c2
4s2_F2,864.8364692246428,14106.929290315948,samples,#c2c2c2
4s2_F2,855.5940900835111,14020.829232001204,samples,#c2c2c2
4s2_F2,855.5940900835111,13935.702055701306,samples,#c2c2c2
4s2_F2,855.5940900835111,13859.74776697006,samples,#c2c2c2
4s2_F2,858.2000240518754,13800.992642430012,samples,#c2c2c2
4s2_F2,869.5618961539427,13725.594286278676,samples,#c2c2c2
4s2_F2,869.5618961539427,13702.349355280872,samples,#c2c2c2
4s2_F2,859.7635844328936,13503.672949532793,samples,#c2c2c2
4s2_F2,859.7635844328936,13463.089871198807,samples,#c2c2c2
4s2_F2,859.7635844328936,13379.352526348704,samples,#c2c2c2
4s2_F2,861.8135858213395,13291.098229286777,samples,#c2c2c2
4s2_F2,872.1678301223063,13228.24310196983,samples,#c2c2c2
4s2_F2,910.8398902128285,13112.921837423162,samples,#c2c2c2
4s2_F2,917.545826958086,13066.605704358777,samples,#c2c2c2
4s2_F2,917.545826958086,12879.777611720194,samples,#c2c2c2
4s2_F2,928.629732770195,12703.998679107472,samples,#c2c2c2
4s2_F2,941.0339784596069,12629.67744232973,samples,#c2c2c2
4s2_F2,943.083979848054,12566.82231501279,samples,#c2c2c2
4s2_F2,943.083979848054,12413.523906100492,samples,#c2c2c2
4s2_F2,943.083979848054,12367.624722471044,samples,#c2c2c2
4s2_F2,919.2483704840841,12263.352617950233,samples,#c2c2c2
4s2_F2,898.1924240197021,12019.193978007645,samples,#c2c2c2
4s2_F2,898.1924240197021,11941.328671032932,samples,#c2c2c2
